Sentence,Head,Relation,Tail
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,classes,giveExposureTo,major
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,student,isInterestedIn,major
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",The program,includes,Learning Resource Center
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",Learning Resource Center,provides,time management
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",Learning Resource Center,provides,collaborative learning
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",Learning Resource Center,provides,subject tutoring
"News & World Report, as outstanding.",News & World Report,isDescribedAs,outstanding
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",university,offers,Master of Arts
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",Master of Arts,offeredIn,1854–1855 academic year
"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",Master of Laws (LL.M.),isIncludedIn,program
"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",Master of Civil Engineering,isIncludedIn,program
"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",program,hasStages,early stages of growth
"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",graduate school education,wasDevelopedWith,thesis not required
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",1924,hasChange,formal requirements
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",graduate degrees,hasFormalRequirements,formal requirements
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",Doctorate,isTypeOf,graduate degrees
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",PhD,isAbbreviationOf,Doctorate
Today each of the five colleges offer graduate education,five colleges,offer,graduate education
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists",College of Arts and Letters,hasDepartments,departments
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists",departments,offer,PhD programs
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists",College of Arts and Letters,hasProgram,Master of Divinity (M.Div.) program
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",Department of Pre-Professional Studies,doesNotOffer,PhD programs
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",College of Science,hasDepartments,departments
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",School of Architecture,offers,Master of Architecture
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",College of Engineering,offers,PhD programs
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,College of Business,offers,MBA
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,College of Business,offers,Master of Science in Accountancy
It also operates facilities in Chicago and Cincinnati for its executive MBA program,Chicago,operatesIn,executive MBA program
It also operates facilities in Chicago and Cincinnati for its executive MBA program,Cincinnati,operatesIn,executive MBA program
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",Alliance for Catholic Education,offers,Master of Education
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,studyAt,university
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,teachAt,Catholic elementary schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,teachAt,middle schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,teachAt,high schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,areLocatedIn,Southern United States
The Joan B,Joan B,undefined,
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,isLocatedAt,University of Notre Dame
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,conducts,research
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,conducts,education
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,conducts,outreach
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",violent conflict,isCausedBy,causes
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",sustainable peace,isConditionFor,conditions
"It offers PhD, Master's, and undergraduate degrees in peace studies",peace studies,hasDegree,PhD
"It offers PhD, Master's, and undergraduate degrees in peace studies",peace studies,hasDegree,Master's
"It offers PhD, Master's, and undergraduate degrees in peace studies",peace studies,hasDegree,undergraduate degrees
It was founded in 1986 through the donations of Joan B,Joan B,founded,it
"Kroc, the widow of McDonald's owner Ray Kroc",Kroc,isWidowOf,Ray Kroc
"Kroc, the widow of McDonald's owner Ray Kroc",Ray Kroc,owns,McDonald's
The institute was inspired by the vision of the Rev,The institute,wasInspiredBy,the vision of the Rev
"Hesburgh CSC, President Emeritus of the University of Notre Dame",Hesburgh,isPresidentOf,University of Notre Dame
The institute has contributed to international policy discussions about peace building practices.,The institute,hasContribution,international policy discussions
The institute has contributed to international policy discussions about peace building practices.,international policy discussions,isAbout,peace building practices
The library system of the university is divided between the main library and each of the colleges and schools,library system,isDividedInto,main library
The library system of the university is divided between the main library and each of the colleges and schools,library system,isDividedInto,colleges and schools
The main building is the 14-story Theodore M,Theodore M,is,main building
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,completedIn,1963
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,houses,main collection of books
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Word of Life mural,wasDesignedBy,Millard Sheets
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Millard Sheets,designed,Word of Life mural
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,the front of the library,isAdornedWith,Word of Life mural
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",Touchdown Jesus,isLocatedNear,Notre Dame Stadium
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",Jesus,makesSignal,touchdown
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",Notre Dame,isKnownFor,competitive admissions
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,enrollsIn,fall 2015
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,admits,"3,577"
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,selectsFrom,"18,156"
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,hasAcceptanceRate,19.7%
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,enrolled class,ratedAmong,top 10 to 15
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,enrolled class,isTypeOf,national research universities
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,university,practices,non-restrictive early action policy
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,admitted students,consider admission to,Notre Dame
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,admitted students,consider admission to,other colleges
"1,400 of the 3,577 (39.1%) were admitted under the early action plan","1,400",isPartOf,"3,577"
"1,400 of the 3,577 (39.1%) were admitted under the early action plan","1,400",admittedUnder,early action plan
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",Notre Dame,hasStudentsFrom,"1,311 high schools"
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",students,traveled,750 miles
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",Notre Dame,isLocatedIn,United States
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",College of the First Year of Studies,hasStudent,students
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",students,studyIn,liberal arts or social sciences
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",students,studyIn,engineering
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",students,studyIn,business
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",students,studyIn,science
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",students,studyIn,architecture
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U.S",Notre Dame,ranked,18th
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U.S",Notre Dame,locatedIn,United States
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",Notre Dame,rankedBy,USA Today
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",USA Today,usesDataFrom,College Factual
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",College Factual,providesDataFor,Notre Dame
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",Notre Dame,hasRanking,10th
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,ranked,13th
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,ranked,8th
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,located,Midwest
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Forbes.com,published,America's Best Colleges
News & World Report also lists Notre Dame Law School as 22nd overall,Notre Dame Law School,rankedAs,22nd
News & World Report also lists Notre Dame Law School as 22nd overall,News & World Report,lists,Notre Dame Law School
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,Mendoza College of Business,rankedBy,BusinessWeek
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,Mendoza College of Business,hasRanking,1st
It ranks the MBA program as 20th overall,MBA program,rankedAs,20th overall
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",Notre Dame,hasRanking,15th nationally
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",Notre Dame,hasProgram,graduate philosophy program
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",ARCHITECT Magazine,ranked,undergraduate architecture program
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",undergraduate architecture program,hasRanking,12th nationally
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",study abroad program,ranks,sixth
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",study abroad program,hasParticipationPercentage,57.6%
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",students,chooseTo,study abroad
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",students,studyIn,17 countries
"According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,hasMedianSalary,"$110,000"
"According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,ranked,24
"According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,locatedIn,United States
"The median starting salary of $55,300 ranked 58th in the same peer group.",median starting salary,hasRank,58th
"The median starting salary of $55,300 ranked 58th in the same peer group.",Peer group,includes,median starting salary
"Father Joseph Carrier, C.S.C",Joseph Carrier,memberOf,C.S.C
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,the Science Museum,employs,Director
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,the Library,employs,Director
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Director,isProfessorOf,Chemistry
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Director,isProfessorOf,Physics
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Director,until,1874
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,Carrier,taught,scientific research
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,scientific research,hasPromise,progress
