Sentence,Head,Relation,Tail
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,instance of,magazine
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,main subject,student literature
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,main subject,student literature and artwork
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",student literature,subclass of,artwork
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork",The Juggler,field of work,student literature
The Dome yearbook is published annually,The Dome,instance of,yearbook
The Dome yearbook is published annually,Dome yearbook,instance of,yearbook
The Dome yearbook is published annually,The Dome yearbook,instance of,yearbook
The Dome yearbook is published annually,Dome,instance of,yearbook
The Dome yearbook is published annually,Dome yearbook,instance of,Yearbook
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",newspapers,have,with
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,instance of,newspaper
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",Saint Mary's College,parent organization,Notre Dame
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",Notre Dame,has part,Saint Mary's College
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",The Observer,owned by,Notre Dame
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College",Saint Mary's College,part of,Notre Dame
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",Observer,is,publication
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Observer,instance of,independent publication
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",Scholastic,instance of,independent publication
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Dome,instance of,independent publication
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",Scholastic,owner of,The Observer
"Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University",The Observer,owned by,Scholastic
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",Common Sense,inception,1987
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",Common Sense,inception instance of,1987 newspaper
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published",Common Sense,instance of,newspaper
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",paper,went,into
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",Irish Rover,inception,2003
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",2003,point in time,2003
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",Irish Rover,inception political ideology,2003 conservative
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",Irish Rover,inception main subject,2003 conservative
"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production",Irish Rover,publication date,2003
"Neither paper is published as often as The Observer; however, all three are distributed to all students",The Observer,owned by,student
"Neither paper is published as often as The Observer; however, all three are distributed to all students",student,owner of,The Observer
"Neither paper is published as often as The Observer; however, all three are distributed to all students",The Observer,different from,The Observer
"Neither paper is published as often as The Observer; however, all three are distributed to all students",The Observer,instance of,paper
"Neither paper is published as often as The Observer; however, all three are distributed to all students",student,owner of owner of,The Observer The Observer
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut",Beyond Politics,inception,2008
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut",Beyond Politics,inception main subject,2008 political science
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut",Beyond Politics,inception field of work,2008 political science
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut",Beyond Politics,inception instance of,2008 academic journal
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut",Beyond Politics,publication date main subject,2008 political science
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",university,is,seat
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",Congregation of Holy Cross,headquarters location,Rome
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",Congregation of Holy Cross,located in the administrative territorial entity,Rome
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",official headquarters,located in the administrative territorial entity,Rome
"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)",its official headquarters,located in the administrative territorial entity,Rome
"Its main seminary, Moreau Seminary, is located on the campus across St",seminary,located,on
"Its main seminary, Moreau Seminary, is located on the campus across St",Moreau Seminary,instance of,seminary
"Its main seminary, Moreau Seminary, is located on the campus across St",Moreau Seminary,instance of part of,seminary campus
"Its main seminary, Moreau Seminary, is located on the campus across St",campus,has part,Moreau Seminary
"Its main seminary, Moreau Seminary, is located on the campus across St",Moreau Seminary,instance of located in the administrative territorial entity,seminary Moreau
"Its main seminary, Moreau Seminary, is located on the campus across St",Moreau Seminary,instance of instance of,seminary campus
Joseph lake from the Main Building,Main Building,located in or next to body of water,St. Joseph lake
Joseph lake from the Main Building,Main Building,located in or next to body of water,St. Joseph
Joseph lake from the Main Building,Main Building,located in or next to body of water,Joseph lake
Joseph lake from the Main Building,St. Joseph,instance of,lake
Joseph lake from the Main Building,St. Joseph lake,located in the administrative territorial entity,Main Building
"Old College, the oldest building on campus and located near the shore of St",Old College,part of,campus
"Old College, the oldest building on campus and located near the shore of St",campus,has part,Old College
"Old College, the oldest building on campus and located near the shore of St",Old College,part of,Old College
"Old College, the oldest building on campus and located near the shore of St",Old College,has part,Old College
"Old College, the oldest building on campus and located near the shore of St",Old College,located in the administrative territorial entity,Old College
"Mary lake, houses undergraduate seminarians",seminarians,subclass of,undergraduate
"Mary lake, houses undergraduate seminarians",seminarians,located in or next to body of water,Mary lake
"Mary lake, houses undergraduate seminarians",seminarians,field of this occupation,undergraduate
"Mary lake, houses undergraduate seminarians",undergraduate,practiced by,seminarians
"Mary lake, houses undergraduate seminarians",Mary lake,occupant,seminarians
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",priests,reside,in
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Fatima House,instance of,retreat center
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Holy Cross House,instance of,retreat center
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Columba Hall,part of,Fatima House
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Columba Hall,located in the administrative territorial entity,Fatima House
"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto",Columba Hall,instance of,retreat center
The university through the Moreau Seminary has ties to theologian Frederick Buechner,university,has,ties
The university through the Moreau Seminary has ties to theologian Frederick Buechner,Frederick Buechner,field of work,theologian
The university through the Moreau Seminary has ties to theologian Frederick Buechner,Frederick Buechner,educated at,Moreau Seminary
The university through the Moreau Seminary has ties to theologian Frederick Buechner,Frederick Buechner,occupation,theologian
The university through the Moreau Seminary has ties to theologian Frederick Buechner,Moreau Seminary,named after,Frederick Buechner
The university through the Moreau Seminary has ties to theologian Frederick Buechner,Frederick Buechner,employer,Moreau Seminary
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Buechner,praised,writers
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Buechner Prize for Preaching,conferred by,Moreau Seminary
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Buechner Prize,conferred by,Moreau Seminary
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Notre Dame,has part,Moreau Seminary
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Moreau Seminary,part of,Notre Dame
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Buechner Prize for Preaching,named after,Moreau Seminary
"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching",Moreau Seminary,parent organization,Notre Dame
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",courses,were,part
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",College of Engineering,inception,1920
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",civil,subclass of,engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",mechanical engineering,subclass of,engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",mechanical,subclass of,engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",civil,has part,mechanical engineering
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",mechanical engineering,part of,civil
"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s",mechanical engineering,subclass of,civil
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B",college,includes,departments
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B",civil engineering,subclass of,engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B",electrical engineering,subclass of,engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B",chemical and biomolecular engineering,subclass of,engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B",electrical engineering,part of,engineering
"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B",engineering,has part,electrical engineering
S,St. Petersburg,located in the administrative territorial entity,Russia
S,Russia,contains administrative territorial entity,St. Petersburg
S,St. Petersburg,country,Russia
S,Russia,capital,St. Petersburg
S,São Paulo,country,Brazil
S,Brazil,capital,São Paulo
degrees offered,University of Pennsylvania,subsidiary,Wharton School
degrees offered,Wharton School,parent organization,University of Pennsylvania
degrees offered,George Washington University,located in the administrative territorial entity,"Washington, D.C."
degrees offered,John F. Kennedy School of Government,part of,Harvard University
degrees offered,Wharton School,part of,University of Pennsylvania
degrees offered,University of Utah,located in the administrative territorial entity,Salt Lake City
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",college,offers,programs
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Arts and Letters,instance of,dual degree programs
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Business,instance of,dual degree programs
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Arts and Letters,instance of,dual degree
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Business,instance of,dual degree
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Arts,instance of,dual degree
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Letters,instance of,dual degree
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Arts and Letters,subclass of,dual degree programs
"Additionally, the college offers five-year dual degree programs with the Colleges of Arts and Letters and of Business awarding additional B",Business,subclass of,dual degree programs
A,Harvard University,has part,John F. Kennedy School of Government
A,Harvard University,subsidiary,John F. Kennedy School of Government
A,Harvard University,has part,John F. Kennedy School
"and Master of Business Administration (MBA) degrees, respectively",Master of Business Administration,instance of,degrees
"and Master of Business Administration (MBA) degrees, respectively",Master of Business Administration,instance of,degree
"and Master of Business Administration (MBA) degrees, respectively",MBA,instance of,degrees
"and Master of Business Administration (MBA) degrees, respectively",MBA,subclass of,Master of Business Administration
"and Master of Business Administration (MBA) degrees, respectively",MBA,instance of,degree
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,All,are,part
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,First Year of Studies,part of,undergraduate colleges
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,First Year of Studies,part of,Notre Dame
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,First Year of Studies program,part of,Notre Dame
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,First Year of Studies,subclass of,undergraduate college
All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program,First Year of Studies,subclass of,undergraduate
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,program,established,in
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,First Year of Studies,inception,1962
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,First Year of Studies program,inception,1962
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,1962,point in time,1962
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,First Year of Studies,start time,1962
The First Year of Studies program was established in 1962 to guide incoming freshmen in their first year at the school before they have declared a major,The First Year of Studies,inception,1962
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,student,given,advisor
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,academic advisor,field of this occupation,major
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,major,practiced by,academic advisor
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,major,has part,classes
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,classes,part of,major
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,academic advisor,instance of,major
Each student is given an academic advisor from the program who helps them to choose classes that give them exposure to any major in which they are interested,major,part of,classes
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",program,includes,Center
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",subject tutoring,subclass of,collaborative learning
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",collaborative learning,subclass of,subject tutoring
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",subject tutoring,part of,collaborative learning
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",collaborative learning,subclass of,learning
"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring",collaborative learning,instance of,subject tutoring
"This program has been recognized previously, by U",United Nations,has part,General Assembly
"This program has been recognized previously, by U",General Assembly,part of,United Nations
"This program has been recognized previously, by U",United Nations,subsidiary,UNESCO
"This program has been recognized previously, by U",UNESCO,parent organization,United Nations
"This program has been recognized previously, by U",U.S. Army,conflict,World War II
"This program has been recognized previously, by U",General Assembly,part of,U Nations
"This program has been recognized previously, by U",General Assembly,parent organization,United Nations
"News & World Report, as outstanding",outstanding,conferred by,News & World Report
"News & World Report, as outstanding",News & World Report,has part,outstanding
"News & World Report, as outstanding",outstanding,part of,News & World Report
"News & World Report, as outstanding",outstanding,conferred by,U.S. News & World Report
"News & World Report, as outstanding",outstanding,publisher,News & World Report
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",university,offered,degrees
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",Master of Arts,instance of,graduate degrees
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",Master of Arts,instance of,graduate degree
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",Master of Arts,subclass of,graduate degrees
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",Master of Arts,subclass of,graduate degree
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year",Master of Arts,inception,1854
The program expanded to include Master of Laws (LL,Master of Laws,said to be the same as,LL
The program expanded to include Master of Laws (LL,LL,said to be the same as,Master of Laws
The program expanded to include Master of Laws (LL,Master of Laws,has part,LL
The program expanded to include Master of Laws (LL,LL,part of,Master of Laws
The program expanded to include Master of Laws (LL,Master of Laws,part of,LL
The program expanded to include Master of Laws (LL,LL,has part,Master of Laws
The program expanded to include Master of Laws (LL,Master of Laws,subclass of,LL
M,2008 Summer Olympics,point in time location country,2008 Beijing China
M,Beijing,country,China
M,China,capital,Beijing
M,M,has part has part,M M
M,M,part of,M
M,M,has part,M
M,M,part of part of,M M
") and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",Master,developed,with
") and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",Master of Civil Engineering,instance of,degrees
") and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",thesis,subclass of,degrees
") and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",Master of Civil Engineering,instance of,graduate school education
") and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",thesis,instance of,degrees
") and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees",Master of Civil Engineering,instance of,graduate school
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",This,changed,in
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",Doctorate,subclass of,graduate degree
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",Doctorate,subclass of,graduate degrees
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",Doctorate,instance of,graduate degree
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",Doctorate,instance of,graduate degrees
"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees",Doctorate (PhD),subclass of,graduate degree
Today each of the five colleges offer graduate education,each,offer,education
Today each of the five colleges offer graduate education,graduate education,subclass of,college
Today each of the five colleges offer graduate education,graduate education,subclass of,education
Today each of the five colleges offer graduate education,graduate education,subclass of,colleges
Today each of the five colleges offer graduate education,graduate,subclass of,education
Today each of the five colleges offer graduate education,Graduate education,subclass of,college
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M",Most,offer,programs
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M",Master of Divinity,subclass of,PhD
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M",PhD,different from,Master of Divinity
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M",Master of Divinity,different from,PhD
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M",Master of Divinity,subclass of,PhD programs
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M",Master of Divinity,subclass of,PhD program
Div,Div,different from,Div
Div,Div,instance of,Div
Div,Div,subclass of,Div
Div,Div,part of,Div
Div,Div,has part,Div
) program also exists,program,has part,program
) program also exists,program,part of,program
) program also exists,Java,programming language,Java programming language
) program also exists,Java programming language,influenced by,Java
) program also exists,Java,influenced by,Java programming language
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",All,offer,programs
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",Pre-Professional Studies,subclass of,PhD programs
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",Pre-Professional Studies,subclass of,PhD
