"Sentence","Head","Relation","Tail"
"Father Charles O'Donnell's works focused on philosophy, particularly in addressing questions of ethics and morality.","Father Charles O'Donnell","focused_on","philosophy particularly addressing questions of ethics and morality"
"The university's basketball team has made 22 NCAA Tournament appearances.","Notre Dame basketball team","made","22 NCAA Tournament appearances"
"Notre Dame's football team, known as the Fighting Irish, has won 11 national championships.","Notre Dame football team","won","11 national championships"
"The Fighting Irish have had two Heisman Trophy winners.","Fighting Irish","had","two Heisman Trophy winners"
"Notre Dame has had three consecutive bowl game appearances in 2019-2021.","Notre Dame","had","three consecutive bowl game appearances 2019-2021"
"The Notre Dame mascot is the leprechaun, a symbol of Irish heritage.","Notre Dame","mascot_is","leprechaun"
"The Notre Dame stadium was completed in 1930 and has been expanded since then.","Notre Dame stadium","completed_in","1930 and expanded_since then"
"The football rivalry between Notre Dame and USC is the longest-running and most historic rivalry in college sports.","Notre Dame football rivalry with USC","is","longest-running and most historic rivalry in college sports"
"The Notre Dame women's soccer team has won multiple NCAA championships.","Notre Dame women's soccer team","won","multiple NCAA championships"
"The Notre Dame rowing team has received NCAA Championships in women's rowing.","Notre Dame rowing team","received","NCAA Championships in women's rowing"
"Notre Dame's athletics program is governed by the NCAA.","Notre Dame athletics","governed_by","NCAA"
"Notre Dame is a member of the Atlantic Coast Conference in athletics.","Notre Dame","is_member_of","Atlantic Coast Conference in athletics"
"The Notre Dame athletics program has a successful cross-country and track team.","Notre Dame","has","successful cross-country and track team"
"The Fighting Irish mascot is one of the most iconic in college sports.","Fighting Irish mascot","is","one of the most iconic in college sports"
"Marcus Freeman is the current football coach at Notre Dame.","Marcus Freeman","is_current_football_coach","Notre Dame"
