Sentence,Head,Relation,Tail
"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists",College of Arts and Letters,hasProject,Master of Divinity (M.Div.) program
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",College of Science,partOf,Department of Pre-Professional Studies
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",Department of Pre-Professional Studies,partOf,College of Science
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",The School of Architecture,partOf,College of Engineering
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",The School of Architecture,offers,Master of Architecture
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",College of Engineering,offers,PhD programs
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,The College of Business,offers,MBA
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,The College of Business,offers,Master of Science in Accountancy
It also operates facilities in Chicago and Cincinnati for its executive MBA program,facilities,locatedIn,Chicago
It also operates facilities in Chicago and Cincinnati for its executive MBA program,facilities,locatedIn,Cincinnati
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",Alliance for Catholic Education,offers,Master of Education
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",Master of Education,locatedIn,university
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,study,university
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,teach,Catholic elementary schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,teach,middle schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",students,teach,high schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",Catholic elementary schools,locatedIn,Southern United States
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",middle schools,locatedIn,Southern United States
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",high schools,locatedIn,Southern United States
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,locatedIn,University of Notre Dame
"It offers PhD, Master's, and undergraduate degrees in peace studies",undergraduate degrees,in,peace studies
"Kroc, the widow of McDonald's owner Ray Kroc",Ray Kroc,owner,McDonald's
"Kroc, the widow of McDonald's owner Ray Kroc",Kroc,widowOf,Ray Kroc
The institute was inspired by the vision of the Rev,The institute,wasInspiredBy,the vision of the Rev
"Hesburgh CSC, President Emeritus of the University of Notre Dame",Hesburgh CSC,isPresidentOf,University of Notre Dame
The institute has contributed to international policy discussions about peace building practices.,The institute,partOf,international policy discussions
The library system of the university is divided between the main library and each of the colleges and schools,library system,partOf,university
The library system of the university is divided between the main library and each of the colleges and schools,main library,partOf,university
The library system of the university is divided between the main library and each of the colleges and schools,colleges and schools,partOf,university
The main building is the 14-story Theodore M,Theodore M,is,main building
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,partOf,main collection of books
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,occured,1963
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Millard Sheets,designed,Word of Life mural
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Word of Life mural,locatedIn,the front of the library
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",Touchdown Jesus,locatedIn,Notre Dame Stadium
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",Touchdown Jesus,partOf,Notre Dame
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",Notre Dame,locatedIn,fall 2015
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,partOf,Notre Dame
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,hasQuantity,"3,577"
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)",incoming class,hasQuantity,"18,156"
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,enrolled class,partOf,national research universities
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,The university,locatedIn,Notre Dame
"1,400 of the 3,577 (39.1%) were admitted under the early action plan","1,400",partOf,"3,577"
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",Notre Dame,locatedIn,United States
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",students,alumniOf,Notre Dame
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",College of the First Year of Studies,partOf,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",liberal arts,hasCharacteristic,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",social sciences,hasCharacteristic,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",engineering,hasCharacteristic,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",business,hasCharacteristic,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",science,hasCharacteristic,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",architecture,hasCharacteristic,
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",students,partOf,College of the First Year of Studies
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U.S",Notre Dame,locatedIn,United States
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U.S",Notre Dame,partOf,national universities
News & World Report's Best Colleges 2016,News & World Report,published,Best Colleges 2016
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",Notre Dame,ranked,10th
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",USA Today,published,ranked
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",College Factual,partOf,data
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,ranked,13th
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,locatedIn,United States
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,ranked,8th
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,partOf,Research Universities
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,ranked,1st
"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Notre Dame,locatedIn,Midwest
U.S,U.S,,
News & World Report also lists Notre Dame Law School as 22nd overall,Notre Dame Law School,locatedIn,
News & World Report also lists Notre Dame Law School as 22nd overall,News & World Report,published,
News & World Report also lists Notre Dame Law School as 22nd overall,Notre Dame Law School,partOf,22nd overall
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,Mendoza College of Business,rankedBy,BusinessWeek
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,Mendoza College of Business,locatedIn,undergraduate school
It ranks the MBA program as 20th overall,MBA program,ranked,20th overall
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",Notre Dame,hasProject,graduate philosophy program
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",Notre Dame,hasProject,undergraduate architecture program
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",Philosophical Gourmet Report,published,rank
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",ARCHITECT Magazine,published,rank
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",graduate philosophy program,ranked,15th nationally
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",undergraduate architecture program,ranked,12th nationally
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",study abroad program,partOf,nation
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",students,partOf,study abroad program
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries",students,locatedIn,17 countries
"According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,alumniOf,University of Notre Dame
"According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,locatedIn,United States
"According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,hasCharacteristic,"mid-career median salary $110,000"
"The median starting salary of $55,300 ranked 58th in the same peer group.","$55,300",is,median starting salary
"Father Joseph Carrier, C.S.C",Father Joseph Carrier,isPartOf,C.S.C
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Director of the Science Museum and the Library,worksFor,the Science Museum and the Library
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Director of the Science Museum and the Library,worksFor,Professor of Chemistry and Physics
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Professor of Chemistry and Physics,worksFor,the Science Museum and the Library
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,Carrier,taught,scientific research
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,scientific research,hasPromise,progress
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,progress,isNotAntagonistic,ideals of intellectual and moral culture
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,ideals of intellectual and moral culture,endorsedBy,the Church
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,alumniOf,Carrier
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,worksFor,Science Department
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,hasCharacteristic,nationally prominent scientist and naturalist
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Zahm,wasActiveIn,Catholic Summer School movement
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic Summer School movement,introduced,Catholic laity
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic Summer School movement,introduced,contemporary intellectual issues
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Evolution and Dogma,published,1896
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Thomas Aquinas,partOf,Church teachers
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Augustine,partOf,Church teachers
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Irish American Catholics,locatedIn,Rome
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Zahm,censure,Vatican
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",Zahm,partOf,expedition
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",Theodore Roosevelt,partOf,expedition
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",expedition,occured,1913
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",expedition,locatedIn,Amazon
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Albert Zahm,bornIn,1882
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Albert Zahm,partOf,John Zahm's brother
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",wind tunnel,isProducedBy,Albert Zahm
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",wind tunnel,hasCharacteristic,used to compare lift to drag of aeronautical models
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,bornIn,America
