Sentence,Head,Relation,Tail
" ""The closure of civil society organizations and our rural community centers, which for more than 40 years have worked in defense of SRR and human rights in general.""",civil society organizations,isPartOf,rural community centers
" ""The closure of civil society organizations and our rural community centers, which for more than 40 years have worked in defense of SRR and human rights in general.""",rural community centers,worksFor,defense of SRR and human rights
"The issue of greenhouse gas emissions has become a major concern for environmentalists and policymakers alike, as the impact of climate change becomes more apparent",greenhouse gas emissions,isConcernOf,environmentalists
"The issue of greenhouse gas emissions has become a major concern for environmentalists and policymakers alike, as the impact of climate change becomes more apparent",greenhouse gas emissions,isConcernOf,policymakers
"The issue of greenhouse gas emissions has become a major concern for environmentalists and policymakers alike, as the impact of climate change becomes more apparent",climate change,hasImpact,environment
"The right to know the fate of victims is equally important, as it allows families and communities to grieve, seek closure, and work towards healing and reconciliation.",families,need,closure
"The right to know the fate of victims is equally important, as it allows families and communities to grieve, seek closure, and work towards healing and reconciliation.",families,need,healing
"The right to know the fate of victims is equally important, as it allows families and communities to grieve, seek closure, and work towards healing and reconciliation.",communities,need,closure
"The right to know the fate of victims is equally important, as it allows families and communities to grieve, seek closure, and work towards healing and reconciliation.",communities,need,healing
"The right to know the fate of victims is equally important, as it allows families and communities to grieve, seek closure, and work towards healing and reconciliation.",victims,have,fate
" Fossil fuel companies, whether state or private, play a key role in the emissions that drive global warming.",Fossil fuel companies,contributesTo,emissions
" Fossil fuel companies, whether state or private, play a key role in the emissions that drive global warming.",emissions,drives,global warming
 Article 2 of the Russian Constitution proclaims human rights and freedoms as the highest value and their defense as the duty of the state.,human rights and freedoms,isProclaimedBy,Article 2 of the Russian Constitution
 Article 2 of the Russian Constitution proclaims human rights and freedoms as the highest value and their defense as the duty of the state.,human rights and freedoms,areDefendedBy,the state
 Article 2 of the Russian Constitution proclaims human rights and freedoms as the highest value and their defense as the duty of the state.,the state,hasDuty,defense of human rights and freedoms
" Accordingly, Article 207.3 acts as a tool of wartime censorship.",Article 207.3,actsAs,wartime censorship
The issue of online censorship and freedom of speech has also been a contentious topic for social media companies,online censorship,isRelatedTo,freedom of speech
The issue of online censorship and freedom of speech has also been a contentious topic for social media companies,social media companies,isInvolvedIn,online censorship
The issue of online censorship and freedom of speech has also been a contentious topic for social media companies,social media companies,isInvolvedIn,freedom of speech
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",workers,haveDifficulty,leave abusive situations
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",workers,haveDifficulty,seek justice
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",workers,have,rights
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",employers,have,control
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",employers,exercise,control
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",system,give,employers
"This system gives employers significant control over their workers, making it difficult for them to leave abusive situations or seek justice for violations of their rights.",system,provide,control
" Abortion criminalization contributes to stigma around abortion and particularly on those who need, provide or assist with abortion services.",abortion criminalization,contributesTo,stigma
" Abortion criminalization contributes to stigma around abortion and particularly on those who need, provide or assist with abortion services.",stigma,affects,"those who need, provide or assist with abortion services"
"These include the unwritten – but often spoken – need for workers to secure “release papers”, a resignation letter, or any equivalent of an NOC, from their current employers in order to successfully move jobs.",workers,need,release papers
"These include the unwritten – but often spoken – need for workers to secure “release papers”, a resignation letter, or any equivalent of an NOC, from their current employers in order to successfully move jobs.",workers,need,resignation letter
"These include the unwritten – but often spoken – need for workers to secure “release papers”, a resignation letter, or any equivalent of an NOC, from their current employers in order to successfully move jobs.",workers,need,NOC
"These include the unwritten – but often spoken – need for workers to secure “release papers”, a resignation letter, or any equivalent of an NOC, from their current employers in order to successfully move jobs.",workers,move,jobs
"These include the unwritten – but often spoken – need for workers to secure “release papers”, a resignation letter, or any equivalent of an NOC, from their current employers in order to successfully move jobs.",release papers,isEquivalentTo,resignation letter
"These include the unwritten – but often spoken – need for workers to secure “release papers”, a resignation letter, or any equivalent of an NOC, from their current employers in order to successfully move jobs.",release papers,isEquivalentTo,NOC
" ""The implementation of repressive laws that breach the human rights of the population to suit the wishes of the regime.""",repressive laws,breach,human rights
" ""The implementation of repressive laws that breach the human rights of the population to suit the wishes of the regime.""",regime,hasWish,implementation of repressive laws
"Reducing greenhouse gas emissions from private companies is a complex challenge that requires cooperation between governments, businesses, and consumers",greenhouse gas emissions,isReducedFrom,private companies
"Reducing greenhouse gas emissions from private companies is a complex challenge that requires cooperation between governments, businesses, and consumers",governments,cooperatesWith,businesses
"Reducing greenhouse gas emissions from private companies is a complex challenge that requires cooperation between governments, businesses, and consumers",governments,cooperatesWith,consumers
"Reducing greenhouse gas emissions from private companies is a complex challenge that requires cooperation between governments, businesses, and consumers",businesses,cooperatesWith,consumers
"The criminalization of abortion can further perpetuate cycles of poverty, inequality, and discrimination, as marginalized individuals are denied the autonomy to make decisions about their own bodies and futures.",abortion,criminalized,cycles of poverty
"The criminalization of abortion can further perpetuate cycles of poverty, inequality, and discrimination, as marginalized individuals are denied the autonomy to make decisions about their own bodies and futures.",abortion,criminalized,inequality
"The criminalization of abortion can further perpetuate cycles of poverty, inequality, and discrimination, as marginalized individuals are denied the autonomy to make decisions about their own bodies and futures.",abortion,criminalized,discrimination
"The criminalization of abortion can further perpetuate cycles of poverty, inequality, and discrimination, as marginalized individuals are denied the autonomy to make decisions about their own bodies and futures.",marginalized individuals,denied,autonomy
"The criminalization of abortion can further perpetuate cycles of poverty, inequality, and discrimination, as marginalized individuals are denied the autonomy to make decisions about their own bodies and futures.",marginalized individuals,make decisions about,their own bodies
"The criminalization of abortion can further perpetuate cycles of poverty, inequality, and discrimination, as marginalized individuals are denied the autonomy to make decisions about their own bodies and futures.",marginalized individuals,make decisions about,their own futures
"Many companies are now taking steps to reduce their carbon footprint through initiatives such as investing in renewable energy, improving energy efficiency, and offsetting emissions through carbon credits.",companies,takeSteps,reduce their carbon footprint
"Many companies are now taking steps to reduce their carbon footprint through initiatives such as investing in renewable energy, improving energy efficiency, and offsetting emissions through carbon credits.",initiatives,include,investing in renewable energy
"Many companies are now taking steps to reduce their carbon footprint through initiatives such as investing in renewable energy, improving energy efficiency, and offsetting emissions through carbon credits.",initiatives,include,improving energy efficiency
"Many companies are now taking steps to reduce their carbon footprint through initiatives such as investing in renewable energy, improving energy efficiency, and offsetting emissions through carbon credits.",initiatives,include,offsetting emissions through carbon credits
"Through its research, lobbying efforts, and grassroots activism, Amnesty International seeks to hold governments and other powerful entities accountable for human rights violations and abuses.",Amnesty International,seeks,governments
"Through its research, lobbying efforts, and grassroots activism, Amnesty International seeks to hold governments and other powerful entities accountable for human rights violations and abuses.",Amnesty International,seeks,powerful entities
"Through its research, lobbying efforts, and grassroots activism, Amnesty International seeks to hold governments and other powerful entities accountable for human rights violations and abuses.",governments,commit,human rights violations
"Through its research, lobbying efforts, and grassroots activism, Amnesty International seeks to hold governments and other powerful entities accountable for human rights violations and abuses.",powerful entities,commit,human rights abuses
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views and ensure that they can access accurate sexual and reproductive healthrelated information, including on the right to abortion",Social media companies,need,human oversight
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views and ensure that they can access accurate sexual and reproductive healthrelated information, including on the right to abortion",Artificial intelligencedriven content moderation systems,need,human oversight
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views and ensure that they can access accurate sexual and reproductive healthrelated information, including on the right to abortion",Users,exercise,rights
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views and ensure that they can access accurate sexual and reproductive healthrelated information, including on the right to abortion",Users,access,accurate sexual and reproductive healthrelated information
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views and ensure that they can access accurate sexual and reproductive healthrelated information, including on the right to abortion",Users,access,right to abortion
These adults play a crucial role in guiding and supporting children as they learn about their rights and responsibilities,adults,guides,children
These adults play a crucial role in guiding and supporting children as they learn about their rights and responsibilities,children,learnsAbout,rights
These adults play a crucial role in guiding and supporting children as they learn about their rights and responsibilities,children,learnsAbout,responsibilities
Amnesty International recommends creating online and facetoface safe spaces for child and young HRDs and their child and youthled organizations to actively engage with the Special and other human rights mechanisms.,Amnesty International,recommends,creating online and facetoface safe spaces
Amnesty International recommends creating online and facetoface safe spaces for child and young HRDs and their child and youthled organizations to actively engage with the Special and other human rights mechanisms.,creating online and facetoface safe spaces,for,child and young HRDs
Amnesty International recommends creating online and facetoface safe spaces for child and young HRDs and their child and youthled organizations to actively engage with the Special and other human rights mechanisms.,child and young HRDs,and,their child and youthled organizations
Amnesty International recommends creating online and facetoface safe spaces for child and young HRDs and their child and youthled organizations to actively engage with the Special and other human rights mechanisms.,their child and youthled organizations,to,actively engage
Amnesty International recommends creating online and facetoface safe spaces for child and young HRDs and their child and youthled organizations to actively engage with the Special and other human rights mechanisms.,actively engage,with,the Special and other human rights mechanisms
The conference aimed to address the global biodiversity crisis and set ambitious targets for conservation and sustainable development.,conference,aimsToAddress,global biodiversity crisis
The conference aimed to address the global biodiversity crisis and set ambitious targets for conservation and sustainable development.,conference,setsTargetsFor,conservation
The conference aimed to address the global biodiversity crisis and set ambitious targets for conservation and sustainable development.,conference,setsTargetsFor,sustainable development
" The states with the most restrictive abortion laws have the weakest maternal health support, higher maternal death rates, and higher child poverty rates.",states,has,restrictive abortion laws
" The states with the most restrictive abortion laws have the weakest maternal health support, higher maternal death rates, and higher child poverty rates.",states,has,maternal health support
" The states with the most restrictive abortion laws have the weakest maternal health support, higher maternal death rates, and higher child poverty rates.",states,has,maternal death rates
" The states with the most restrictive abortion laws have the weakest maternal health support, higher maternal death rates, and higher child poverty rates.",states,has,child poverty rates
" In 2022, the USA Supreme Court handed down a decision ruling that overturned 50 years of jurisprudence recognizing a constitutional right to abortion.",USA Supreme Court,handedDown,decision
" In 2022, the USA Supreme Court handed down a decision ruling that overturned 50 years of jurisprudence recognizing a constitutional right to abortion.",decision,overturned,50 years of jurisprudence
" In 2022, the USA Supreme Court handed down a decision ruling that overturned 50 years of jurisprudence recognizing a constitutional right to abortion.",50 years of jurisprudence,recognized,constitutional right to abortion
These violations of human rights have raised concerns globally and put pressure on the Qatari government to reform its labor laws and practices.,human rights,have,concerns
These violations of human rights have raised concerns globally and put pressure on the Qatari government to reform its labor laws and practices.,concerns,put,pressure
These violations of human rights have raised concerns globally and put pressure on the Qatari government to reform its labor laws and practices.,pressure,on,Qatari government
These violations of human rights have raised concerns globally and put pressure on the Qatari government to reform its labor laws and practices.,Qatari government,reform,labor laws
These violations of human rights have raised concerns globally and put pressure on the Qatari government to reform its labor laws and practices.,labor laws,and,practices
"The organization often provides detailed reports and recommendations to the Special Rapporteur on Human Rights Defenders, highlighting specific cases of abuse and calling for action to protect those at risk.",Special Rapporteur on Human Rights Defenders,receivesReport,organization
" ""As a result, the activities of our feminist community organization are severely limited right now.""",feminist community organization,isAffectedBy,activities
"As a result, companies like Facebook and Twitter have implemented stricter policies and measures to protect users' rights and prevent misuse of their platforms.",Facebook,hasPolicy,stricter policies
"As a result, companies like Facebook and Twitter have implemented stricter policies and measures to protect users' rights and prevent misuse of their platforms.",Twitter,hasPolicy,stricter policies
"As a result, companies like Facebook and Twitter have implemented stricter policies and measures to protect users' rights and prevent misuse of their platforms.",Facebook,protects,users' rights
"As a result, companies like Facebook and Twitter have implemented stricter policies and measures to protect users' rights and prevent misuse of their platforms.",Twitter,protects,users' rights
 These 100 companies are responsible for 71% of all GHG emissions since 1988.,companies,responsibleFor,GHG emissions
" Prosecution for ""dissemination of knowingly false information"" under Article 207.3 contributes to impunity for violations of the laws and customs of war.",Article 207.3,contributesTo,impunity
" Prosecution for ""dissemination of knowingly false information"" under Article 207.3 contributes to impunity for violations of the laws and customs of war.",impunity,relatedTo,violations of the laws and customs of war
"By reading and discussing these books together, families and educators can help instill values of equality, respect, and compassion in the next generation.",families,canHelp,next generation
"By reading and discussing these books together, families and educators can help instill values of equality, respect, and compassion in the next generation.",educators,canHelp,next generation
"By reading and discussing these books together, families and educators can help instill values of equality, respect, and compassion in the next generation.",next generation,hasValue,equality
"By reading and discussing these books together, families and educators can help instill values of equality, respect, and compassion in the next generation.",next generation,hasValue,respect
"By reading and discussing these books together, families and educators can help instill values of equality, respect, and compassion in the next generation.",next generation,hasValue,compassion
Such reliance means abusive employers can – and still do – depend on an array of tools to control their workforce,abusive employers,use,tools
Such reliance means abusive employers can – and still do – depend on an array of tools to control their workforce,employers,control,workforce
"This includes cancelling or refraining from renewing workers’ residence permits, or falsely reporting employees as having “absconded” from their job (when they could be trying to escape abuse)  all of which can lead to workers being arrested and deported.",workers,havePermit,residence permits
"This includes cancelling or refraining from renewing workers’ residence permits, or falsely reporting employees as having “absconded” from their job (when they could be trying to escape abuse)  all of which can lead to workers being arrested and deported.",workers,reportAs,absconded
"This includes cancelling or refraining from renewing workers’ residence permits, or falsely reporting employees as having “absconded” from their job (when they could be trying to escape abuse)  all of which can lead to workers being arrested and deported.",workers,tryToEscape,abuse
"This includes cancelling or refraining from renewing workers’ residence permits, or falsely reporting employees as having “absconded” from their job (when they could be trying to escape abuse)  all of which can lead to workers being arrested and deported.",workers,leadTo,being arrested
"This includes cancelling or refraining from renewing workers’ residence permits, or falsely reporting employees as having “absconded” from their job (when they could be trying to escape abuse)  all of which can lead to workers being arrested and deported.",workers,leadTo,deported
"In many cases, the identities of perpetrators of human rights violations are shielded from public knowledge, either due to political reasons or lack of evidence",identities,areShieldedFrom,public knowledge
"In many cases, the identities of perpetrators of human rights violations are shielded from public knowledge, either due to political reasons or lack of evidence",perpetrators,commit,human rights violations
"In many cases, the identities of perpetrators of human rights violations are shielded from public knowledge, either due to political reasons or lack of evidence",human rights violations,areShieldedDueTo,political reasons
"In many cases, the identities of perpetrators of human rights violations are shielded from public knowledge, either due to political reasons or lack of evidence",human rights violations,areShieldedDueTo,lack of evidence
" Article 17 further declares that human rights and freedoms are guaranteed ""in accordance with the recognized principles and norms of international law and this Constitution.""",human rights and freedoms,guaranteed,recognized principles and norms of international law and this Constitution
" Article 29 guarantees freedom of thought and speech, freedom to seek, receive, share, produce and disseminate information, and media freedom.",Article 29,guarantees,freedom of thought and speech
" Article 29 guarantees freedom of thought and speech, freedom to seek, receive, share, produce and disseminate information, and media freedom.",Article 29,guarantees,"freedom to seek, receive, share, produce and disseminate information"
" Article 29 guarantees freedom of thought and speech, freedom to seek, receive, share, produce and disseminate information, and media freedom.",Article 29,guarantees,media freedom
"By setting aside these areas as protected zones, it is hoped that ecosystems can thrive and species can be safeguarded for future generations.",ecosystems,thriveIn,protected zones
"By setting aside these areas as protected zones, it is hoped that ecosystems can thrive and species can be safeguarded for future generations.",species,safeguardedFor,future generations
"They should uphold their human rights responsibilities by engaging in human rights due diligence, including to address risks and abuses arising from their business model.",they,uphold,human rights
"They should uphold their human rights responsibilities by engaging in human rights due diligence, including to address risks and abuses arising from their business model.",they,engageIn,human rights due diligence
"They should uphold their human rights responsibilities by engaging in human rights due diligence, including to address risks and abuses arising from their business model.",human rights due diligence,address,risks
"They should uphold their human rights responsibilities by engaging in human rights due diligence, including to address risks and abuses arising from their business model.",human rights due diligence,address,abuses
"They should uphold their human rights responsibilities by engaging in human rights due diligence, including to address risks and abuses arising from their business model.",risks,ariseFrom,business model
"They should uphold their human rights responsibilities by engaging in human rights due diligence, including to address risks and abuses arising from their business model.",abuses,ariseFrom,business model
" The claim that Roman Ivanov’s actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Roman Ivanov,allegedlyViolated,constitutional order
" The claim that Roman Ivanov’s actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Article 207.3,isPartOf,Criminal Code
" The claim that Roman Ivanov’s actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Article 207.3,contradicts,Russian Constitution
" The claim that Roman Ivanov’s actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Russian Constitution,hasProvisions,constitutional order
" Unfortunately, at COP15, States failed to explicitly recognize Indigenous Peoples' lands and territories as a distinct category of protected area, and this threatens their rights.",COP15,failedTo,recognize Indigenous Peoples' lands and territories as a distinct category of protected area
" Unfortunately, at COP15, States failed to explicitly recognize Indigenous Peoples' lands and territories as a distinct category of protected area, and this threatens their rights.",States,failedTo,recognize Indigenous Peoples' lands and territories as a distinct category of protected area
" Unfortunately, at COP15, States failed to explicitly recognize Indigenous Peoples' lands and territories as a distinct category of protected area, and this threatens their rights.",Indigenous Peoples' lands and territories,is,a distinct category of protected area
" Unfortunately, at COP15, States failed to explicitly recognize Indigenous Peoples' lands and territories as a distinct category of protected area, and this threatens their rights.",Indigenous Peoples' lands and territories,hasRights,their rights
This has led to calls for greater accountability and transparency from these companies in terms of monitoring and regulating the content that is shared on their platforms,companies,callsFor,accountability
This has led to calls for greater accountability and transparency from these companies in terms of monitoring and regulating the content that is shared on their platforms,companies,callsFor,transparency
This has led to calls for greater accountability and transparency from these companies in terms of monitoring and regulating the content that is shared on their platforms,companies,monitor,content
This has led to calls for greater accountability and transparency from these companies in terms of monitoring and regulating the content that is shared on their platforms,companies,regulate,content
This has led to calls for greater accountability and transparency from these companies in terms of monitoring and regulating the content that is shared on their platforms,platforms,share,content
Amnesty International recommends incorporating age disaggregated data on the lived experiences of child and young HRDs in all future reports or interventions by the Special Rapporteur,Amnesty International,recommends,incorporating age disaggregated data
Amnesty International recommends incorporating age disaggregated data on the lived experiences of child and young HRDs in all future reports or interventions by the Special Rapporteur,incorporating age disaggregated data,on,lived experiences of child and young HRDs
Amnesty International recommends incorporating age disaggregated data on the lived experiences of child and young HRDs in all future reports or interventions by the Special Rapporteur,lived experiences of child and young HRDs,of,child and young HRDs
Amnesty International recommends incorporating age disaggregated data on the lived experiences of child and young HRDs in all future reports or interventions by the Special Rapporteur,child and young HRDs,in,all future reports or interventions
Amnesty International recommends incorporating age disaggregated data on the lived experiences of child and young HRDs in all future reports or interventions by the Special Rapporteur,all future reports or interventions,by,the Special Rapporteur
" The right to truth is engaged by the violation of the rights to access to justice, remedy, and information.",right to truth,isViolatedBy,violation of the rights
" The right to truth is engaged by the violation of the rights to access to justice, remedy, and information.",violation of the rights,includes,access to justice
" The right to truth is engaged by the violation of the rights to access to justice, remedy, and information.",violation of the rights,includes,remedy
" The right to truth is engaged by the violation of the rights to access to justice, remedy, and information.",violation of the rights,includes,information
"If the prosecution believes that the statements were made with the purpose of obstructing justice or undermining the truth, they may be classified as 'false' and subject to legal consequences.",statements,hasPurpose,obstructing justice
"If the prosecution believes that the statements were made with the purpose of obstructing justice or undermining the truth, they may be classified as 'false' and subject to legal consequences.",statements,hasPurpose,undermining the truth
"If the prosecution believes that the statements were made with the purpose of obstructing justice or undermining the truth, they may be classified as 'false' and subject to legal consequences.",prosecution,believes,statements
The determination of whether statements are considered 'false' under Article 207.3 is based on the intent behind the statements and the impact they have on the legal proceedings,Article 207.3,hasProvision,statements
The determination of whether statements are considered 'false' under Article 207.3 is based on the intent behind the statements and the impact they have on the legal proceedings,statements,haveImpact,legal proceedings
"The kafala system in Qatar, which ties a migrant worker's legal status to their employer, has been identified as a key factor contributing to the labor abuses documented by Amnesty International",kafala system,isIn,Qatar
"The kafala system in Qatar, which ties a migrant worker's legal status to their employer, has been identified as a key factor contributing to the labor abuses documented by Amnesty International",kafala system,contributesTo,labor abuses
"The kafala system in Qatar, which ties a migrant worker's legal status to their employer, has been identified as a key factor contributing to the labor abuses documented by Amnesty International",migrant worker,hasStatus,legal status
"The kafala system in Qatar, which ties a migrant worker's legal status to their employer, has been identified as a key factor contributing to the labor abuses documented by Amnesty International",migrant worker,isTiedTo,employer
"The kafala system in Qatar, which ties a migrant worker's legal status to their employer, has been identified as a key factor contributing to the labor abuses documented by Amnesty International",labor abuses,documentedBy,Amnesty International
" The claim that Roman Ivanov's actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Roman Ivanov,hasAction,actions
" The claim that Roman Ivanov's actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Article 207.3,violates,constitutional order
" The claim that Roman Ivanov's actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Article 207.3,isPartOf,Criminal Code
" The claim that Roman Ivanov's actions were ""in violation of constitutional order"" do not stand scrutiny either, as Article 207.3 of the Criminal Code is contrary to the provisions of the Russian Constitution itself.",Criminal Code,contradicts,Russian Constitution
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Social media companies,need,resources
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Artificial intelligencedriven content moderation systems,need,human oversight
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Social media companies,invest,resources
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Human oversight,of,Artificial intelligencedriven content moderation systems
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Users,exercise,rights
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Rights,online,language
"Social media companies involved in facilitating and moderating online content need to invest adequate resources in human oversight of artificial intelligencedriven content moderation systems to ensure all users can equally exercise their rights online, regardless of language and political views.",Rights,online,political views
"The criminalization of abortion can have farreaching consequences for marginalized individuals, particularly those who may not have access to safe and legal options for terminating a pregnancy",abortion,hasConsequence,individuals
"The criminalization of abortion can have farreaching consequences for marginalized individuals, particularly those who may not have access to safe and legal options for terminating a pregnancy",individuals,isCharacterizedBy,marginalized
"The criminalization of abortion can have farreaching consequences for marginalized individuals, particularly those who may not have access to safe and legal options for terminating a pregnancy",individuals,hasAccessTo,safe and legal options
"Social media companies play a significant role in shaping public discourse and disseminating information on a wide range of topics, including sexual and reproductive health",Social media companies,playRoleIn,shaping public discourse
"Social media companies play a significant role in shaping public discourse and disseminating information on a wide range of topics, including sexual and reproductive health",Social media companies,disseminate,information
"Social media companies play a significant role in shaping public discourse and disseminating information on a wide range of topics, including sexual and reproductive health",information,isAbout,sexual and reproductive health
"In addition to the legal implications, individuals found guilty under Article 207.3 may face severe penalties, including fines, imprisonment, or other restrictions on their rights and freedoms",individuals,foundGuiltyUnder,Article 207.3
"In addition to the legal implications, individuals found guilty under Article 207.3 may face severe penalties, including fines, imprisonment, or other restrictions on their rights and freedoms",Article 207.3,hasPenalty,fines
"In addition to the legal implications, individuals found guilty under Article 207.3 may face severe penalties, including fines, imprisonment, or other restrictions on their rights and freedoms",Article 207.3,hasPenalty,imprisonment
"In addition to the legal implications, individuals found guilty under Article 207.3 may face severe penalties, including fines, imprisonment, or other restrictions on their rights and freedoms",Article 207.3,hasPenalty,other restrictions on their rights and freedoms
The organization also urged its members to raise awareness about the plight of the Ogoni people and the need for justice and accountability in their case,Ogoni people,needJustice,justice
The organization also urged its members to raise awareness about the plight of the Ogoni people and the need for justice and accountability in their case,Ogoni people,needAccountability,accountability
The economic challenges facing Nicaragua have also played a role in the decline of independent civil society organizations,Nicaragua,faces,economic challenges
The economic challenges facing Nicaragua have also played a role in the decline of independent civil society organizations,independent civil society organizations,decline,economic challenges
"In the case of the Ogoni 9, Amnesty International called on its supporters to take action by signing petitions, writing letters to government officials, and participating in protests and demonstrations",Amnesty International,calledOn,supporters
"In the case of the Ogoni 9, Amnesty International called on its supporters to take action by signing petitions, writing letters to government officials, and participating in protests and demonstrations",supporters,takeAction,signing petitions
"In the case of the Ogoni 9, Amnesty International called on its supporters to take action by signing petitions, writing letters to government officials, and participating in protests and demonstrations",supporters,takeAction,writing letters
"In the case of the Ogoni 9, Amnesty International called on its supporters to take action by signing petitions, writing letters to government officials, and participating in protests and demonstrations",supporters,takeAction,participating in protests and demonstrations
"In the case of the Ogoni 9, Amnesty International called on its supporters to take action by signing petitions, writing letters to government officials, and participating in protests and demonstrations",Amnesty International,isConcernedWith,Ogoni 9
The data from the Carbon Majors database highlights the disproportionate impact of these companies on the environment and the urgent need for action to address their emissions.,Carbon Majors database,highlights,disproportionate impact
The data from the Carbon Majors database highlights the disproportionate impact of these companies on the environment and the urgent need for action to address their emissions.,companies,have,emissions
